年次,田_計_ha,田_本地_ha,田_けい畔_ha,田_けい畔率,畑_計_ha,畑_本地_ha,畑_けい畔_ha,畑_けい畔率
1965,93200,89800,3380,0.03763919822,56900,56600,305,0.00538869258
1966,95600,92100,3460,0.03756786102,55000,54700,301,0.00550274223
1967,101000,97300,3660,0.03761562179,51200,50900,293,0.005756385069
1968,105800,102000,3840,0.03764705882,47000,46700,262,0.005610278373
1969,109300,105300,4000,0.03798670465,44800,44500,259,0.005820224719
1970,110200,106200,4030,0.0379472693,43700,43500,251,0.005770114943
1971,110300,106300,4030,0.03791157103,42100,41900,248,0.005918854415
1972,110300,106300,4030,0.03791157103,41400,41200,243,0.005898058252
1973,110300,106300,4000,0.03762935089,40500,40300,230,0.00570719603
1974,110000,106000,3990,0.03764150943,39000,38800,221,0.005695876289
1975,110800,106800,4030,0.0377340824,37700,37500,214,0.005706666667
1976,112700,108600,4100,0.03775322284,36000,35800,208,0.005810055866
1977,113600,109400,4220,0.03857404022,34700,34500,200,0.005797101449
1978,113200,109000,4190,0.03844036697,34200,34000,197,0.005794117647
1979,112700,108600,4130,0.03802946593,34100,33900,197,0.00581120944
1980,112200,108100,4090,0.03783533765,34000,33800,199,0.005887573964
1981,111700,107700,4040,0.03751160631,33800,33600,201,0.005982142857
1982,111400,107400,4030,0.03752327747,33600,33400,254,0.007604790419
1983,111000,107000,4010,0.03747663551,33600,33300,253,0.007597597598
1984,110900,106900,4000,0.0374181478,33200,33000,249,0.007545454545
1985,110700,106700,3990,0.0373945642,33000,32800,249,0.007591463415
1986,110500,106500,3980,0.03737089202,33300,33100,249,0.00752265861
1987,110300,106300,3960,0.03725305738,33200,33000,249,0.007545454545
1988,110000,106000,3950,0.03726415094,33000,32800,249,0.007591463415
1989,109700,105700,3940,0.03727530747,32700,32400,249,0.007685185185
1990,109300,105400,3930,0.03728652751,32200,32000,245,0.00765625
1991,108800,104900,3910,0.0372735939,31700,31500,241,0.007650793651
1992,108400,104500,3890,0.03722488038,31300,31000,236,0.007612903226
1993,107900,104000,3870,0.03721153846,30700,30400,232,0.007631578947
1994,107400,103600,3860,0.03725868726,30200,29900,227,0.007591973244
1995,106900,103100,3850,0.03734238603,29700,29500,225,0.007627118644
1996,106400,102500,3830,0.03736585366,29400,29200,219,0.0075
1997,105900,102100,3820,0.03741429971,29000,28800,215,0.007465277778
1998,105600,101800,3800,0.0373280943,28700,28500,210,0.007368421053
1999,105000,101200,3780,0.03735177866,28500,28300,207,0.007314487633
2000,104600,100900,3760,0.03726461843,28100,27900,204,0.007311827957
2001,104300,100500,3740,0.03721393035,27900,27700,202,0.007292418773
2002,103700,100000,3700,0.037,27900,27700,202,0.007292418773
2003,103000,99400,3680,0.0370221328,28100,27900,204,0.007311827957
2004,102800,99100,3670,0.0370332997,27900,27700,204,0.007364620939
2005,102200,98600,3530,0.03580121704,27900,27700,201,0.00725631769
2006,101300,98000,3370,0.0343877551,28000,27800,201,0.007230215827
2007,100700,97400,3300,0.03388090349,28300,28000,203,0.00725
2008,99900,96600,3260,0.03374741201,28400,28200,205,0.007269503546
2009,99400,96200,3240,0.03367983368,28400,28200,205,0.007269503546
2010,98900,95700,3220,0.03364681296,28300,28100,203,0.007224199288
2011,98300,95100,3200,0.03364879075,28100,27900,203,0.007275985663
2012,97800,94600,3180,0.03361522199,28200,28000,204,0.007285714286
2013,97500,94300,3170,0.03361611877,28000,27700,202,0.007292418773
2014,97300,94200,3150,0.03343949045,27700,27500,196,0.007127272727
2015,97100,93900,3140,0.03343982961,27400,27300,193,0.00706959707
2016,96900,93800,3140,0.03347547974,27200,27000,192,0.007111111111
2017,96800,93600,3130,0.03344017094,27100,26900,192,0.007137546468
2018,96400,93300,3120,0.03344051447,26800,26600,190,0.007142857143
2019,96100,93000,3110,0.03344086022,26400,26300,187,0.00711026616
2020,95500,92400,3090,0.03344155844,26600,26400,188,0.007121212121
2021,94800,91700,3060,0.03336968375,26900,26700,192,0.007191011236
2022,94300,91200,3050,0.03344298246,27100,26900,194,0.007211895911
