年次,田畑計_計_ha,田畑計_本地_ha,田畑計_けい畔_ha,田_計_ha,田_本地_ha,田_本地_増減率,田_けい畔_ha,田_けい畔_増減率,田_けい畔率,畑_計_ha,畑_本地_ha,畑_本地_増減率,畑_けい畔_ha,畑_けい畔_増減率,畑_けい畔率
1956,"6,012,000","5,703,000","309,000","3,320,000","3,088,000",,"231,700",,0.08,"2,692,000","2,614,000",,"77,700",,0.03
1957,"6,044,000","5,730,000","314,500","3,335,000","3,103,000",1.005,"232,800",1.005,0.08,"2,709,000","2,627,000",1.005,"81,700",1.051,0.03
1958,"6,064,000","5,749,000","315,200","3,345,000","3,112,000",1.003,"233,300",1.002,0.07,"2,719,000","2,637,000",1.004,"81,400",0.996,0.03
1959,"6,073,000","5,757,000","315,800","3,364,000","3,129,000",1.005,"235,100",1.008,0.08,"2,709,000","2,628,000",0.997,"80,600",0.990,0.03
1960,"6,071,000","5,755,000","315,700","3,381,000","3,146,000",1.005,"236,000",1.004,0.08,"2,690,000","2,610,000",0.993,"79,600",0.988,0.03
1961,"6,086,000","5,769,000","316,300","3,388,000","3,152,000",1.002,"236,800",1.003,0.08,"2,697,000","2,617,000",1.003,"79,600",1.000,0.03
1962,"6,081,000","5,763,000","317,100","3,393,000","3,156,000",1.001,"236,800",1.000,0.08,"2,688,000","2,608,000",0.997,"80,400",1.010,0.03
1963,"6,060,000","5,744,000","315,900","3,399,000","3,162,000",1.002,"236,400",0.998,0.07,"2,661,000","2,582,000",0.990,"79,500",0.989,0.03
1964,"6,042,000","5,726,000","315,700","3,392,000","3,156,000",0.998,"236,100",0.999,0.07,"2,650,000","2,570,000",0.995,"79,500",1.000,0.03
1965,"6,004,000","5,690,000","314,400","3,391,000","3,154,000",0.999,"236,100",1.000,0.07,"2,614,000","2,536,000",0.987,"78,200",0.984,0.03
1966,"5,996,000","5,681,000","314,200","3,396,000","3,159,000",1.002,"236,300",1.001,0.07,"2,600,000","2,522,000",0.994,"77,800",0.995,0.03
1967,"5,938,000","5,626,000","312,300","3,415,000","3,178,000",1.006,"236,300",1.000,0.07,"2,524,000","2,447,000",0.970,"76,100",0.978,0.03
1968,"5,897,000","5,586,000","310,500","3,435,000","3,198,000",1.006,"236,900",1.003,0.07,"2,462,000","2,388,000",0.976,"73,600",0.967,0.03
1969,"5,852,000","5,543,000","308,700","3,441,000","3,204,000",1.002,"236,900",1.000,0.07,"2,411,000","2,339,000",0.979,"71,800",0.976,0.03
1970,"5,796,000","5,491,000","304,600","3,415,000","3,180,000",0.993,"234,400",0.989,0.07,"2,381,000","2,311,000",0.988,"70,400",0.981,0.03
1971,"5,741,000","5,442,000","298,800","3,364,000","3,134,000",0.986,"229,800",0.980,0.07,"2,377,000","2,308,000",0.999,"69,000",0.980,0.03
1972,"5,683,000","5,391,000","292,200","3,312,000","3,088,000",0.985,"224,100",0.975,0.07,"2,371,000","2,303,000",0.998,"68,100",0.987,0.03
1973,"5,647,000","5,359,000","288,000","3,274,000","3,053,000",0.989,"220,600",0.984,0.07,"2,373,000","2,306,000",1.001,"67,400",0.990,0.03
1974,"5,615,000","5,331,000","284,100","3,209,000","2,994,000",0.981,"215,400",0.976,0.07,"2,406,000","2,337,000",1.013,"68,700",1.019,0.03
1975,"5,572,000","5,293,000","279,300","3,171,000","2,959,000",0.988,"211,700",0.983,0.07,"2,402,000","2,334,000",0.999,"67,600",0.984,0.03
1976,"5,536,000","5,262,000","274,300","3,144,000","2,936,000",0.992,"208,200",0.983,0.07,"2,392,000","2,326,000",0.997,"66,100",0.978,0.03
1977,"5,515,000","5,244,000","271,100","3,133,000","2,927,000",0.997,"206,000",0.989,0.07,"2,382,000","2,317,000",0.996,"65,100",0.985,0.03
1978,"5,494,000","5,225,000","268,400","3,108,000","2,905,000",0.992,"202,900",0.985,0.07,"2,386,000","2,320,000",1.001,"65,500",1.006,0.03
1979,"5,474,000","5,209,000","265,300","3,081,000","2,881,000",0.992,"200,100",0.986,0.07,"2,393,000","2,328,000",1.003,"65,200",0.995,0.03
1980,"5,461,000","5,199,000","262,100","3,055,000","2,858,000",0.992,"197,200",0.986,0.07,"2,406,000","2,341,000",1.006,"64,900",0.995,0.03
1981,"5,442,000","5,183,000","259,300","3,031,000","2,836,000",0.992,"194,900",0.988,0.07,"2,411,000","2,347,000",1.003,"64,400",0.992,0.03
1982,"5,426,000","5,169,000","257,100","3,010,000","2,817,000",0.993,"192,800",0.989,0.07,"2,416,000","2,352,000",1.002,"64,300",0.998,0.03
1983,"5,411,000","5,156,000","254,600","2,989,000","2,798,000",0.993,"190,700",0.989,0.07,"2,422,000","2,358,000",1.003,"63,900",0.994,0.03
1984,"5,396,000","5,145,000","251,800","2,971,000","2,783,000",0.995,"188,400",0.988,0.07,"2,425,000","2,362,000",1.002,"63,400",0.992,0.03
1985,"5,379,000","5,130,000","249,000","2,952,000","2,766,000",0.994,"186,200",0.988,0.07,"2,427,000","2,364,000",1.001,"62,800",0.991,0.03
1986,"5,358,000","5,113,000","245,700","2,931,000","2,748,000",0.993,"183,300",0.984,0.07,"2,427,000","2,365,000",1.000,"62,400",0.994,0.03
1987,"5,340,000","5,097,000","242,700","2,910,000","2,729,000",0.993,"180,800",0.986,0.07,"2,430,000","2,368,000",1.001,"61,900",0.992,0.03
1988,"5,317,000","5,077,000","240,100","2,889,000","2,710,000",0.993,"178,900",0.989,0.07,"2,428,000","2,367,000",1.000,"61,200",0.989,0.03
1989,"5,279,000","5,042,000","236,600","2,868,000","2,692,000",0.993,"176,900",0.989,0.07,"2,410,000","2,351,000",0.993,"59,700",0.975,0.03
1990,"5,243,000","5,010,000","233,800","2,846,000","2,672,000",0.993,"174,800",0.988,0.07,"2,397,000","2,338,000",0.994,"58,900",0.987,0.03
1991,"5,204,000","4,973,000","231,100","2,825,000","2,652,000",0.993,"172,900",0.989,0.07,"2,380,000","2,321,000",0.993,"58,200",0.988,0.03
1992,"5,165,000","4,936,000","228,600","2,802,000","2,631,000",0.992,"171,200",0.990,0.07,"2,362,000","2,305,000",0.993,"57,400",0.986,0.02
1993,"5,124,000","4,898,000","226,100","2,782,000","2,612,000",0.993,"169,500",0.990,0.06,"2,343,000","2,286,000",0.992,"56,600",0.986,0.02
1994,"5,083,000","4,859,000","223,500","2,764,000","2,596,000",0.994,"168,000",0.991,0.06,"2,318,000","2,263,000",0.990,"55,500",0.981,0.02
1995,"5,038,000","4,817,000","220,800","2,745,000","2,579,000",0.993,"166,400",0.990,0.06,"2,293,000","2,239,000",0.989,"54,400",0.980,0.02
1996,"4,994,000","4,776,000","217,700","2,724,000","2,560,000",0.993,"164,400",0.988,0.06,"2,269,000","2,216,000",0.990,"53,400",0.982,0.02
1997,"4,949,000","4,734,000","214,600","2,701,000","2,539,000",0.992,"162,200",0.987,0.06,"2,248,000","2,195,000",0.991,"52,400",0.981,0.02
1998,"4,905,000","4,694,000","211,500","2,679,000","2,519,000",0.992,"160,000",0.986,0.06,"2,226,000","2,174,000",0.990,"51,600",0.985,0.02
1999,"4,866,000","4,658,000","208,700","2,659,000","2,501,000",0.993,"158,000",0.988,0.06,"2,207,000","2,156,000",0.992,"50,700",0.983,0.02
2000,"4,830,000","4,625,000","205,900","2,641,000","2,485,000",0.994,"156,100",0.988,0.06,"2,189,000","2,139,000",0.992,"49,800",0.982,0.02
2001,"4,794,000","4,590,000","203,400","2,624,000","2,469,000",0.994,"154,600",0.990,0.06,"2,170,000","2,121,000",0.992,"48,900",0.982,0.02
2002,"4,762,000","4,561,000","201,300","2,607,000","2,454,000",0.994,"153,200",0.991,0.06,"2,156,000","2,108,000",0.994,"48,100",0.984,0.02
2003,"4,736,000","4,537,000","199,500","2,592,000","2,440,000",0.994,"151,900",0.992,0.06,"2,144,000","2,097,000",0.995,"47,600",0.990,0.02
2004,"4,714,000","4,516,000","197,800","2,575,000","2,425,000",0.994,"150,500",0.991,0.06,"2,139,000","2,091,000",0.997,"47,300",0.994,0.02
2005,"4,692,000","4,498,000","194,100","2,556,000","2,410,000",0.994,"146,400",0.973,0.06,"2,136,000","2,088,000",0.999,"47,700",1.008,0.02
2006,"4,671,000","4,479,000","192,200","2,543,000","2,398,000",0.995,"144,700",0.988,0.06,"2,128,000","2,081,000",0.997,"47,400",0.994,0.02
2007,"4,650,000","4,460,000","190,400","2,530,000","2,386,000",0.995,"143,600",0.992,0.06,"2,120,000","2,073,000",0.996,"46,800",0.987,0.02
2008,"4,628,000","4,439,000","188,800","2,516,000","2,373,000",0.995,"142,500",0.992,0.06,"2,112,000","2,066,000",0.997,"46,200",0.987,0.02
2009,"4,609,000","4,421,000","187,800","2,506,000","2,364,000",0.996,"142,000",0.996,0.06,"2,103,000","2,057,000",0.996,"45,900",0.994,0.02
2010,"4,593,000","4,406,000","186,900","2,496,000","2,355,000",0.996,"141,300",0.995,0.06,"2,097,000","2,051,000",0.997,"45,600",0.993,0.02
2011,"4,561,000","4,376,000","185,500","2,474,000","2,334,000",0.991,"140,300",0.993,0.06,"2,087,000","2,042,000",0.996,"45,300",0.993,0.02
2012,"4,549,000","4,364,000","185,100","2,469,000","2,329,000",0.998,"140,000",0.998,0.06,"2,080,000","2,035,000",0.997,"45,200",0.998,0.02
2013,"4,537,000","4,352,000","184,600","2,465,000","2,326,000",0.999,"139,700",0.998,0.06,"2,072,000","2,027,000",0.996,"44,900",0.993,0.02
2014,"4,518,000","4,335,000","182,300","2,458,000","2,320,000",0.997,"137,600",0.985,0.06,"2,060,000","2,015,000",0.994,"44,600",0.993,0.02
2015,"4,496,000","4,315,000","180,600","2,446,000","2,310,000",0.996,"136,400",0.991,0.06,"2,050,000","2,005,000",0.995,"44,200",0.991,0.02
2016,"4,471,000","4,292,000","178,800","2,432,000","2,296,000",0.994,"135,100",0.990,0.06,"2,039,000","1,995,000",0.995,"43,700",0.989,0.02
2017,"4,444,000","4,267,000","177,300","2,418,000","2,284,000",0.995,"133,800",0.990,0.06,"2,026,000","1,982,000",0.993,"43,500",0.995,0.02
2018,"4,420,000","4,244,000","175,800","2,405,000","2,273,000",0.995,"132,600",0.991,0.06,"2,014,000","1,971,000",0.994,"43,200",0.993,0.02
2019,"4,397,000","4,223,000","174,700","2,393,000","2,261,000",0.995,"131,900",0.995,0.06,"2,004,000","1,961,000",0.995,"42,800",0.991,0.02
2020,"4,372,000","4,199,000","173,400","2,379,000","2,248,000",0.994,"131,100",0.994,0.06,"1,993,000","1,951,000",0.995,"42,400",0.991,0.02
2021,"4,349,000","4,177,000","172,300","2,366,000","2,236,000",0.995,"130,300",0.994,0.06,"1,983,000","1,941,000",0.995,"42,000",0.991,0.02
2022,"4,325,000","4,154,000","171,100","2,352,000","2,223,000",0.994,"129,500",0.994,0.06,"1,973,000","1,932,000",0.995,"41,700",0.993,0.02
