年次,都道府県名,region,田_本地_ha,田_けい畔_ha,畑_本地_ha,畑_けい畔_ha
1965,山梨県,Yamanashi,17200,1480,31300,192
1966,山梨県,Yamanashi,16900,1450,31100,190
1967,山梨県,Yamanashi,16400,1430,30900,184
1968,山梨県,Yamanashi,15900,1400,30900,188
1969,山梨県,Yamanashi,15300,1360,30700,181
1970,山梨県,Yamanashi,14900,1290,30500,177
1971,山梨県,Yamanashi,14200,1230,30500,170
1972,山梨県,Yamanashi,13700,1200,30400,169
1973,山梨県,Yamanashi,13100,1160,30000,168
1974,山梨県,Yamanashi,12800,1130,29700,165
1975,山梨県,Yamanashi,12500,1120,29300,160
1976,山梨県,Yamanashi,12200,1100,28900,156
1977,山梨県,Yamanashi,12100,1110,28700,146
1978,山梨県,Yamanashi,11900,1090,28100,140
1979,山梨県,Yamanashi,11700,1080,27700,130
1980,山梨県,Yamanashi,11500,1070,27000,127
1981,山梨県,Yamanashi,11200,1060,26400,127
1982,山梨県,Yamanashi,11000,1050,25800,121
1983,山梨県,Yamanashi,10800,1040,25300,116
1984,山梨県,Yamanashi,10600,1030,24700,106
1985,山梨県,Yamanashi,10500,1030,24200,102
1986,山梨県,Yamanashi,10300,1010,23800,102
1987,山梨県,Yamanashi,10100,994,23400,100
1988,山梨県,Yamanashi,10000,980,23100,99
1989,山梨県,Yamanashi,9880,969,22800,93
1990,山梨県,Yamanashi,9700,953,22000,89
1991,山梨県,Yamanashi,9520,936,21300,84
1992,山梨県,Yamanashi,9350,923,20700,82
1993,山梨県,Yamanashi,9220,910,20300,79
1994,山梨県,Yamanashi,9140,904,19800,78
1995,山梨県,Yamanashi,9030,895,19500,77
1996,山梨県,Yamanashi,8920,885,19200,83
1997,山梨県,Yamanashi,8780,875,18900,83
1998,山梨県,Yamanashi,8670,865,18500,81
1999,山梨県,Yamanashi,8580,859,18100,79
2000,山梨県,Yamanashi,8470,848,17800,76
2001,山梨県,Yamanashi,8390,842,17400,75
2002,山梨県,Yamanashi,8320,836,17100,73
2003,山梨県,Yamanashi,8270,833,17000,73
2004,山梨県,Yamanashi,8190,825,16900,73
2005,山梨県,Yamanashi,8150,800,16900,73
2006,山梨県,Yamanashi,7990,782,16800,75
2007,山梨県,Yamanashi,7930,778,16800,75
2008,山梨県,Yamanashi,7820,767,16700,73
2009,山梨県,Yamanashi,7680,755,16600,73
2010,山梨県,Yamanashi,7550,744,16500,73
2011,山梨県,Yamanashi,7470,736,16500,73
2012,山梨県,Yamanashi,7410,731,16400,73
2013,山梨県,Yamanashi,7370,727,16300,72
2014,山梨県,Yamanashi,7390,721,16300,76
2015,山梨県,Yamanashi,7330,708,16100,81
2016,山梨県,Yamanashi,7290,696,15900,86
2017,山梨県,Yamanashi,7230,684,15800,89
2018,山梨県,Yamanashi,7190,672,15800,92
2019,山梨県,Yamanashi,7130,667,15700,92
2020,山梨県,Yamanashi,7080,662,15600,91
2021,山梨県,Yamanashi,7050,659,15500,91
2022,山梨県,Yamanashi,7000,654,15400,90
1965,山口県,Yamaguchi,64000,6740,16900,2660
1966,山口県,Yamaguchi,63600,6700,17000,2700
1967,山口県,Yamaguchi,62600,6600,16400,2620
1968,山口県,Yamaguchi,61300,6460,15600,2380
1969,山口県,Yamaguchi,60400,6320,15200,2320
1970,山口県,Yamaguchi,59100,6180,14800,2250
1971,山口県,Yamaguchi,57900,6100,14600,2200
1972,山口県,Yamaguchi,56300,5960,14400,2170
1973,山口県,Yamaguchi,55100,5790,14300,2160
1974,山口県,Yamaguchi,53700,5650,14200,2140
1975,山口県,Yamaguchi,52500,5520,14100,2120
1976,山口県,Yamaguchi,51600,5420,13900,2070
1977,山口県,Yamaguchi,50900,5350,13600,1990
1978,山口県,Yamaguchi,50400,5270,13500,1970
1979,山口県,Yamaguchi,49700,5260,13300,1940
1980,山口県,Yamaguchi,49200,5160,13200,1930
1981,山口県,Yamaguchi,48900,5100,12800,1850
1982,山口県,Yamaguchi,48500,5060,12600,1820
1983,山口県,Yamaguchi,48000,5010,12300,1770
1984,山口県,Yamaguchi,47400,4980,12100,1750
1985,山口県,Yamaguchi,47200,4940,11800,1690
1986,山口県,Yamaguchi,47100,4920,11600,1660
1987,山口県,Yamaguchi,46600,4840,11400,1620
1988,山口県,Yamaguchi,46200,4800,11500,1620
1989,山口県,Yamaguchi,45600,4740,11100,1580
1990,山口県,Yamaguchi,45000,4670,10900,1540
1991,山口県,Yamaguchi,44400,4600,10800,1520
1992,山口県,Yamaguchi,43800,4540,10600,1490
1993,山口県,Yamaguchi,43300,4500,10400,1470
1994,山口県,Yamaguchi,42700,4430,10200,1430
1995,山口県,Yamaguchi,42100,4360,10100,1390
1996,山口県,Yamaguchi,41400,4310,9960,1370
1997,山口県,Yamaguchi,40800,4240,9800,1360
1998,山口県,Yamaguchi,40200,4180,9570,1330
1999,山口県,Yamaguchi,39700,4130,9330,1300
2000,山口県,Yamaguchi,39200,4080,9110,1270
2001,山口県,Yamaguchi,38800,4030,8830,1240
2002,山口県,Yamaguchi,38500,4000,8540,1200
2003,山口県,Yamaguchi,38300,3990,8420,1190
2004,山口県,Yamaguchi,38000,3980,8400,1190
2005,山口県,Yamaguchi,37700,3980,8580,1240
2006,山口県,Yamaguchi,37400,3980,8580,1220
2007,山口県,Yamaguchi,37200,3980,8550,1180
2008,山口県,Yamaguchi,37000,3980,8540,1180
2009,山口県,Yamaguchi,36900,3980,8520,1180
2010,山口県,Yamaguchi,36600,3970,8400,1160
2011,山口県,Yamaguchi,36400,3950,8280,1140
2012,山口県,Yamaguchi,36200,3950,8180,1130
2013,山口県,Yamaguchi,36100,3930,8070,1110
2014,山口県,Yamaguchi,35900,3850,7990,1030
2015,山口県,Yamaguchi,35800,3780,7940,954
2016,山口県,Yamaguchi,35600,3710,7820,883
2017,山口県,Yamaguchi,35500,3630,7710,816
2018,山口県,Yamaguchi,35400,3560,7550,741
2019,山口県,Yamaguchi,34800,3490,7410,727
2020,山口県,Yamaguchi,33900,3400,6910,680
2021,山口県,Yamaguchi,33700,3370,6740,665
2022,山口県,Yamaguchi,33400,3330,6480,640
1965,山形県,Yamagata,101300,8150,40600,231
1966,山形県,Yamagata,101700,8200,41400,236
1967,山形県,Yamagata,104000,8260,40300,200
1968,山形県,Yamagata,105900,8470,39300,201
1969,山形県,Yamagata,107600,8580,37500,191
1970,山形県,Yamagata,108400,8690,36600,187
1971,山形県,Yamagata,108000,8680,37000,145
1972,山形県,Yamagata,107100,8330,37200,127
1973,山形県,Yamagata,106300,7910,37000,102
1974,山形県,Yamagata,104900,7510,36600,95
1975,山形県,Yamagata,104600,7330,37200,97
1976,山形県,Yamagata,104900,7020,36700,80
1977,山形県,Yamagata,105300,6840,36100,76
1978,山形県,Yamagata,105000,6840,35400,74
1979,山形県,Yamagata,104600,6800,35100,74
1980,山形県,Yamagata,104000,6770,35100,73
1981,山形県,Yamagata,103500,6740,35000,74
1982,山形県,Yamagata,103100,6710,34600,73
1983,山形県,Yamagata,102700,6700,34400,72
1984,山形県,Yamagata,102400,6690,34000,71
1985,山形県,Yamagata,102100,6610,33600,71
1986,山形県,Yamagata,101800,6520,33200,70
1987,山形県,Yamagata,101500,6410,32700,84
1988,山形県,Yamagata,101100,6390,32100,84
1989,山形県,Yamagata,100700,6370,31800,82
1990,山形県,Yamagata,100300,6340,31300,82
1991,山形県,Yamagata,99700,6310,30900,80
1992,山形県,Yamagata,99100,6270,30500,80
1993,山形県,Yamagata,98600,6230,30100,80
1994,山形県,Yamagata,98300,6220,29400,78
1995,山形県,Yamagata,97700,6180,28900,76
1996,山形県,Yamagata,97100,6140,28300,74
1997,山形県,Yamagata,96300,6100,27800,74
1998,山形県,Yamagata,95900,6070,27400,73
1999,山形県,Yamagata,95400,6040,26900,72
2000,山形県,Yamagata,95100,6010,26400,72
2001,山形県,Yamagata,94700,5990,25800,70
2002,山形県,Yamagata,94300,5970,25300,70
2003,山形県,Yamagata,94000,5940,25000,69
2004,山形県,Yamagata,93600,5810,25900,71
2005,山形県,Yamagata,93000,5530,26300,73
2006,山形県,Yamagata,92500,5250,26600,73
2007,山形県,Yamagata,92200,5140,26600,73
2008,山形県,Yamagata,91900,5130,26500,73
2009,山形県,Yamagata,91800,5120,26300,73
2010,山形県,Yamagata,91600,5110,26200,73
2011,山形県,Yamagata,91500,5100,26100,72
2012,山形県,Yamagata,91400,5100,25900,70
2013,山形県,Yamagata,91300,5090,25800,70
2014,山形県,Yamagata,91300,5010,25700,123
2015,山形県,Yamagata,90500,4970,25500,122
2016,山形県,Yamagata,89400,4910,25000,119
2017,山形県,Yamagata,88800,4870,24700,118
2018,山形県,Yamagata,88200,4830,24600,118
2019,山形県,Yamagata,87800,4810,24600,118
2020,山形県,Yamagata,87400,4780,24600,118
2021,山形県,Yamagata,86900,4750,24100,114
2022,山形県,Yamagata,86400,4730,23800,113
1965,和歌山県,Wakayama,23900,2060,20600,1750
1966,和歌山県,Wakayama,23300,2010,21300,1830
1967,和歌山県,Wakayama,22700,1960,22100,1890
1968,和歌山県,Wakayama,22400,1950,22500,1930
1969,和歌山県,Wakayama,22000,1900,23100,1970
1970,和歌山県,Wakayama,21200,1830,23600,2010
1971,和歌山県,Wakayama,20100,1740,24200,2060
1972,和歌山県,Wakayama,19400,1690,24600,2070
1973,和歌山県,Wakayama,18900,1650,24800,2070
1974,和歌山県,Wakayama,18400,1600,24800,2060
1975,和歌山県,Wakayama,17800,1550,24800,2060
1976,和歌山県,Wakayama,17400,1520,24900,2070
1977,和歌山県,Wakayama,17100,1480,24700,2050
1978,和歌山県,Wakayama,16500,1430,24800,2050
1979,和歌山県,Wakayama,16200,1400,24800,2060
1980,和歌山県,Wakayama,15600,1350,25000,2060
1981,和歌山県,Wakayama,15100,1320,25100,2070
1982,和歌山県,Wakayama,14700,1290,25100,2070
1983,和歌山県,Wakayama,14600,1270,25200,2080
1984,和歌山県,Wakayama,14500,1260,25400,2100
1985,和歌山県,Wakayama,14400,1250,25400,2100
1986,和歌山県,Wakayama,14200,1210,25400,2100
1987,和歌山県,Wakayama,14000,1180,25400,2100
1988,和歌山県,Wakayama,13800,1150,25400,2100
1989,和歌山県,Wakayama,13700,1130,24800,2040
1990,和歌山県,Wakayama,13400,1100,24500,2010
1991,和歌山県,Wakayama,13200,1090,24300,1990
1992,和歌山県,Wakayama,13000,1070,24200,1990
1993,和歌山県,Wakayama,12800,1060,24200,1980
1994,和歌山県,Wakayama,12600,1050,24100,1980
1995,和歌山県,Wakayama,12400,1030,24000,1970
1996,和歌山県,Wakayama,12200,991,23800,1950
1997,和歌山県,Wakayama,12000,958,23600,1930
1998,和歌山県,Wakayama,11800,931,23400,1920
1999,和歌山県,Wakayama,11500,906,23200,1910
2000,和歌山県,Wakayama,11300,881,23100,1900
2001,和歌山県,Wakayama,11200,862,22900,1880
2002,和歌山県,Wakayama,11000,848,22700,1870
2003,和歌山県,Wakayama,11000,847,22600,1870
2004,和歌山県,Wakayama,10900,840,22800,1880
2005,和歌山県,Wakayama,10900,833,23400,1890
2006,和歌山県,Wakayama,10700,701,23700,1710
2007,和歌山県,Wakayama,10600,631,23700,1570
2008,和歌山県,Wakayama,10400,565,23600,1480
2009,和歌山県,Wakayama,10200,510,23500,1380
2010,和歌山県,Wakayama,10100,502,23400,1280
2011,和歌山県,Wakayama,9980,498,23300,1190
2012,和歌山県,Wakayama,9780,487,23200,1180
2013,和歌山県,Wakayama,9780,487,23100,1180
2014,和歌山県,Wakayama,9600,489,23000,1170
2015,和歌山県,Wakayama,9380,487,22700,1150
2016,和歌山県,Wakayama,9250,487,22400,1140
2017,和歌山県,Wakayama,9130,483,22000,1120
2018,和歌山県,Wakayama,9040,480,21800,1110
2019,和歌山県,Wakayama,8990,478,21600,1090
2020,和歌山県,Wakayama,8860,472,21400,1080
2021,和歌山県,Wakayama,8790,469,21200,1080
2022,和歌山県,Wakayama,8700,461,21100,1070
1965,富山県,Toyama,77300,3480,6850,90
1966,富山県,Toyama,76900,3470,6750,87
1967,富山県,Toyama,76600,3440,6560,87
1968,富山県,Toyama,76100,3420,5900,79
1969,富山県,Toyama,75600,3400,5750,76
1970,富山県,Toyama,74500,3350,4920,60
1971,富山県,Toyama,73600,3310,4530,60
1972,富山県,Toyama,72500,3240,4520,52
1973,富山県,Toyama,71400,3160,4100,44
1974,富山県,Toyama,70600,3080,3970,40
1975,富山県,Toyama,69600,3040,3620,37
1976,富山県,Toyama,69100,3000,3520,33
1977,富山県,Toyama,68800,2950,3400,28
1978,富山県,Toyama,68300,2850,3350,25
1979,富山県,Toyama,67800,2750,3300,28
1980,富山県,Toyama,67300,2710,3300,44
1981,富山県,Toyama,66400,2690,3270,45
1982,富山県,Toyama,65900,2570,3160,44
1983,富山県,Toyama,65200,2560,3080,44
1984,富山県,Toyama,64900,2540,3050,49
1985,富山県,Toyama,64600,2510,2980,37
1986,富山県,Toyama,64300,2490,2930,34
1987,富山県,Toyama,64000,2470,2910,34
1988,富山県,Toyama,63600,2450,2910,33
1989,富山県,Toyama,63200,2430,2860,32
1990,富山県,Toyama,62700,2410,2850,32
1991,富山県,Toyama,62100,2390,2790,32
1992,富山県,Toyama,61300,2360,2750,31
1993,富山県,Toyama,60700,2340,2710,31
1994,富山県,Toyama,60100,2320,2650,30
