年次,区分,田_本地_ha,田_本地_増減率,田_けい畔_ha,田_けい畔_増減率,田_けい畔率,畑_本地_ha,畑_本地_増減率,畑_けい畔_ha,畑_けい畔_増減率,畑_けい畔率
1965,全国,3154000,1,236100,1,0.07485732403,2536000,1,78200,1,0.03083596215
1966,全国,3159000,1.001585289,236300,1.000847099,0.07480215258,2522000,0.9944794953,77800,0.9948849105,0.03084853291
1967,全国,3178000,1.007609385,236300,1.000847099,0.07435494021,2447000,0.9649053628,76100,0.9731457801,0.03109930527
1968,全国,3198000,1.013950539,236900,1.003388395,0.07407754847,2388000,0.9416403785,73600,0.9411764706,0.03082077052
1969,全国,3204000,1.015852885,236900,1.003388395,0.07393882647,2339000,0.922318612,71800,0.9181585678,0.03069687901
1970,全国,3180000,1.0082435,234400,0.9927996612,0.07371069182,2311000,0.9112776025,70400,0.9002557545,0.03046300303
1971,全国,3134000,0.9936588459,229800,0.9733163914,0.07332482451,2308000,0.9100946372,69000,0.8823529412,0.02989601386
1972,全国,3088000,0.9790741915,224100,0.9491740788,0.07257124352,2303000,0.9081230284,68100,0.8708439898,0.02957012592
1973,全国,3053000,0.9679771718,220600,0.9343498518,0.07225679659,2306000,0.9093059937,67400,0.8618925831,0.02922810061
1974,全国,2994000,0.9492707673,215400,0.9123252859,0.07194388778,2337000,0.9215299685,68700,0.878516624,0.02939666239
1975,全国,2959000,0.9381737476,211700,0.8966539602,0.07154444069,2334000,0.9203470032,67600,0.8644501279,0.02896315338
1976,全国,2936000,0.9308814204,208200,0.8818297332,0.07091280654,2326000,0.917192429,66100,0.8452685422,0.02841788478
1977,全国,2927000,0.9280279011,206000,0.8725116476,0.07037922788,2317000,0.9136435331,65100,0.8324808184,0.02809667674
1978,全国,2905000,0.9210526316,202900,0.859381618,0.06984509466,2320000,0.9148264984,65500,0.8375959079,0.02823275862
1979,全国,2881000,0.9134432467,200100,0.8475222363,0.06945505033,2328000,0.9179810726,65200,0.8337595908,0.02800687285
1980,全国,2858000,0.9061509195,197200,0.8352393054,0.06899930021,2341000,0.9231072555,64900,0.8299232737,0.02772319522
1981,全国,2836000,0.89917565,194900,0.8254976705,0.0687235543,2347000,0.9254731861,64400,0.8235294118,0.02743928419
1982,全国,2817000,0.8931515536,192800,0.8166031343,0.06844160454,2352000,0.927444795,64300,0.8222506394,0.02733843537
1983,全国,2798000,0.8871274572,190700,0.8077085981,0.06815582559,2358000,0.9298107256,63900,0.8171355499,0.02709923664
1984,全国,2783000,0.8823715916,188400,0.7979669632,0.06769673015,2362000,0.9313880126,63400,0.810741688,0.02684165961
1985,全国,2766000,0.8769816107,186200,0.7886488776,0.06731742589,2364000,0.9321766562,62800,0.8030690537,0.02656514382
1986,全国,2748000,0.871274572,183300,0.7763659466,0.06670305677,2365000,0.9325709779,62400,0.7979539642,0.02638477801
1987,全国,2729000,0.8652504756,180800,0.765777213,0.06625137413,2368000,0.9337539432,61900,0.7915601023,0.0261402027
1988,全国,2710000,0.8592263792,178900,0.7577297755,0.06601476015,2367000,0.9333596215,61200,0.7826086957,0.02585551331
1989,全国,2692000,0.8535193405,176900,0.7492587886,0.06571322437,2351000,0.9270504732,59700,0.76342711,0.0253934496
1990,全国,2672000,0.8471781864,174800,0.7403642524,0.06541916168,2338000,0.9219242902,58900,0.7531969309,0.0251924722
1991,全国,2652000,0.8408370323,172900,0.7323168149,0.06519607843,2321000,0.9152208202,58200,0.7442455243,0.02507539854
1992,全国,2631000,0.8341788205,171200,0.7251164761,0.06507031547,2305000,0.9089116719,57400,0.7340153453,0.02490238612
1993,全国,2612000,0.8281547242,169500,0.7179161372,0.06489280245,2286000,0.9014195584,56600,0.7237851662,0.02475940507
1994,全国,2596000,0.8230818009,168000,0.7115628971,0.06471494607,2263000,0.8923501577,55500,0.7097186701,0.02452496686
1995,全国,2579000,0.8176918199,166400,0.7047861076,0.06452113222,2239000,0.8828864353,54400,0.6956521739,0.02429656096
1996,全国,2560000,0.8116677235,164400,0.6963151207,0.06421875,2216000,0.8738170347,53400,0.6828644501,0.02409747292
1997,全国,2539000,0.8050095117,162200,0.6869970352,0.06388341867,2195000,0.8655362776,52400,0.6700767263,0.02387243736
1998,全国,2519000,0.7986683576,160000,0.6776789496,0.06351726876,2174000,0.8572555205,51600,0.6598465473,0.0237350506
1999,全国,2501000,0.792961319,158000,0.6692079627,0.06317473011,2156000,0.8501577287,50700,0.6483375959,0.02351576994
2000,全国,2485000,0.7878883957,156100,0.6611605252,0.06281690141,2139000,0.8434542587,49800,0.6368286445,0.02328190743
2001,全国,2469000,0.7828154724,154600,0.654807285,0.0626164439,2121000,0.8363564669,48900,0.6253196931,0.02305516266
2002,全国,2454000,0.7780596068,153200,0.6488775942,0.06242868786,2108000,0.8312302839,48100,0.6150895141,0.02281783681
2003,全国,2440000,0.773620799,151900,0.6433714528,0.06225409836,2097000,0.8268927445,47600,0.6086956522,0.02269909394
2004,全国,2425000,0.7688649334,150500,0.637441762,0.06206185567,2091000,0.8245268139,47300,0.604859335,0.02262075562
2005,全国,2410000,0.7641090679,146400,0.6200762389,0.06074688797,2088000,0.8233438486,47700,0.6099744246,0.02284482759
2006,全国,2398000,0.7603043754,144700,0.6128759,0.06034195163,2081000,0.8205835962,47400,0.6061381074,0.02277751081
2007,全国,2386000,0.7564996829,143600,0.6082168573,0.06018440905,2073000,0.8174290221,46800,0.5984654731,0.02257597685
2008,全国,2373000,0.7523779328,142500,0.6035578145,0.0600505689,2066000,0.8146687697,46200,0.5907928389,0.02236205227
2009,全国,2364000,0.7495244134,142000,0.6014400678,0.0600676819,2057000,0.8111198738,45900,0.5869565217,0.02231404959
2010,全国,2355000,0.7466708941,141300,0.5984752224,0.06,2051000,0.8087539432,45600,0.5831202046,0.02223305705
2011,全国,2334000,0.7400126823,140300,0.5942397289,0.06011139674,2042000,0.8052050473,45300,0.5792838875,0.0221841332
2012,全国,2329000,0.7384273938,140000,0.5929690809,0.0601116359,2035000,0.802444795,45200,0.5780051151,0.02221130221
2013,全国,2326000,0.7374762207,139700,0.5916984329,0.06006018917,2027000,0.7992902208,44900,0.574168798,0.02215096201
2014,全国,2320000,0.7355738744,137600,0.5828038967,0.05931034483,2015000,0.7945583596,44600,0.5703324808,0.02213399504
2015,全国,2310000,0.7324032974,136400,0.5777213045,0.05904761905,2005000,0.790615142,44200,0.5652173913,0.02204488778
2016,全国,2296000,0.7279644895,135100,0.5722151631,0.05884146341,1995000,0.7866719243,43700,0.5588235294,0.0219047619
2017,全国,2284000,0.7241597971,133800,0.5667090216,0.05858143608,1982000,0.7815457413,43500,0.5562659847,0.02194752775
2018,全国,2273000,0.7206721623,132600,0.5616264295,0.05833699956,1971000,0.7772082019,43200,0.5524296675,0.02191780822
