都道府県,region,販売農家人口
北海道,Hokkaido,128000
青森県,Aomori,109000
岩手県,Iwate,135700
宮城県,Miyagi,116500
秋田県,Akita,109200
山形県,Yamagata,111900
福島県,Fukushima,167500
茨城県,Ibaraki,186300
栃木県,Tochigi,131900
群馬県,Gunma,73600
埼玉県,Saitama,110000
千葉県,Chiba,143600
東京都,Tokyo,17600
神奈川県,Kanagawa,43100
新潟県,Niigata,180700
富山県,Toyama,50700
石川県,Ishikawa,38100
福井県,Fukui,42300
山梨県,Yamanashi,48800
長野県,Nagano,150200
岐阜県,Gifu,86000
静岡県,Shizuoka,104800
愛知県,Aichi,124400
三重県,Mie,72900
滋賀県,Shiga,59800
京都府,Kyoto,51900
大阪府,Osaka,25000
兵庫県,Hyogo,134000
奈良県,Nara,41900
和歌山県,Wakayama,59300
鳥取県,Tottori,54000
島根県,Shimane,56500
岡山県,Okayama,98800
広島県,Hiroshima,70000
山口県,Yamaguchi,44700
徳島県,Tokushima,53800
香川県,Kagawa,60000
愛媛県,Ehime,69400
高知県,Kochi,41000
福岡県,Fukuoka,101200
佐賀県,Saga,55100
長崎県,Nagasaki,69000
熊本県,Kumamoto,119600
大分県,Oita,59200
宮崎県,Miyazaki,68600
鹿児島県,Kagoshima,77800
沖縄県,Okinawa,31100
